Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ÇªÇÃëº,ïœçXïÒçêèë,ó’éûïÒçêèë,élîºä˙ïÒçêèë,óLâøèÿåîïÒçêèë
2024/07/31,2435,2492.5,2421,2492.5,597000,0,0,,,,,
2024/08/01,2442.5,2457,2343,2378.5,1138400,0,0,,,,,
2024/08/02,2280.5,2294,2213,2216,1401100,0,0,,,,,
2024/08/05,2022,2054.5,1867,1882,1844300,0,0,,,,,
2024/08/06,2150,2186,2094.5,2142.5,1336800,0,0,,,,,
2024/08/07,2100,2187.5,2056,2076,2338200,0,0,,,,,
2024/08/08,2064,2125,2053.5,2078,1912600,0,0,,,,,
2024/08/09,2122.5,2180,1964,1996,4345500,0,0,,,,,
2024/08/13,2003,2026,1929,2011,3676800,0,0,2011,,,,
2024/08/14,2009,2061,1972.5,2048.5,3134500,0,0,,,,,
2024/08/15,2098.5,2107.5,2058.5,2072,1697100,0,0,,,,,
2024/08/16,2168,2195,2113.5,2130,1729500,0,0,,,,,
2024/08/19,2156,2179,2096,2103,1944100,0,0,,,,,
2024/08/20,2149.5,2158,2126.5,2150,1134300,0,0,,,,,
2024/08/21,2151.5,2179,2149,2176.5,1863800,0,0,,,,,
2024/08/22,2195,2195,2145.5,2155.5,1115000,0,0,,,,,
2024/08/23,2158,2164.5,2139,2164.5,1175500,0,0,,,,,
2024/08/26,2139,2144.5,2086,2116.5,1547700,0,0,,,,,
2024/08/27,2130,2150.5,2118,2148,876500,0,0,,,,,
2024/08/28,2098,2137.5,2081,2137.5,1504900,0,0,,,,,
2024/08/29,2130,2130,2110.5,2123.5,771700,0,0,,,,,
2024/08/30,2116,2144,2113,2139,776400,0,0,,,,,
2024/09/02,2186,2199,2143,2163.5,1341300,0,0,,,,,
2024/09/03,2170,2171.5,2140,2151.5,712200,0,0,,,,,
2024/09/04,2110,2119.5,2078.5,2088.5,1531800,0,0,,,,,
2024/09/05,2080,2118.5,2052,2082,1268000,0,0,,,,,
2024/09/06,2082,2089,2048,2064,1132800,0,0,,,,,
2024/09/09,2000,2047.5,1987.5,2042,1044500,0,0,,,,,
2024/09/10,2042,2056.5,2033,2037,764700,0,0,,,,,
2024/09/11,2020,2020,1968,1992,1289200,0,0,,,,,
2024/09/12,2023,2039.5,1998,2020.5,1076700,0,0,,,,,
2024/09/13,1994,2012,1993.5,2012,1208000,0,0,,,,,
2024/09/17,1995,2003,1938,1963.5,1639400,0,0,,,,,
2024/09/18,1983,1992,1966.5,1986.5,1318200,0,0,,,,,
2024/09/19,2021,2049.5,2006,2022,1270800,0,0,,,,,
2024/09/20,2040,2067.5,2033,2037.5,1480400,0,0,,,,,
2024/09/24,2070,2078,2042.5,2047,1172400,0,0,,,,,
2024/09/25,2058,2085,2051,2077.5,857600,0,0,,,,,
2024/09/26,2080,2107.5,2070.5,2107.5,1251700,0,0,,,,,
2024/09/27,2139,2159,2114,2151,1140600,0,0,,,,,
2024/09/30,2088,2122,2080.5,2087,1505000,0,0,,,,,
2024/10/01,2101,2135,2099,2119,1699300,0,0,,,,,
2024/10/02,2106.5,2129,2090,2097,1519700,0,0,,,,,
2024/10/03,2140,2146.5,2118,2122,1239300,0,0,,,,,
2024/10/04,2125,2128,2108,2122.5,1150400,0,0,,,,,
2024/10/07,2179.5,2180.5,2151,2170,1261200,0,0,,,,,
2024/10/08,2147,2152.5,2120,2120,1696100,0,0,,,,,
2024/10/09,2125.5,2136,2101,2116.5,1190900,0,0,,,,,
2024/10/10,2130,2159,2121,2148,1113100,0,0,,,,,
2024/10/11,2130,2141,2123,2124.5,1269000,0,0,,,,,

